43# Number of electrodes
# x z
0	0
2	0
4	0
6	0
8	0
10	0
12	0
14	0
16	0
18	0
20	0
22	0
24	0
26	0
28	0
30	0
32	0
34	0
36	0
38	0
40	0
42	0
44	0
46	0
48	0
50	0
52	0
54	0
56	0
58	0
60	0
62	0
64	0
66	0
68	0
70	0
72	0
74	0
76	0
78	0
80	0
82	0
84	0
446 #Number of data
#a	b	m	n	rhoa	err
 1.0	2.0	3.0	4.0	0.0	0.2
 2.0	3.0	4.0	5.0	0.0	0.2
 3.0	4.0	5.0	6.0	21.86	0.2
 4.0	5.0	6.0	7.0	21.86	0.2
 5.0	6.0	7.0	8.0	21.86	0.2
 6.0	7.0	8.0	9.0	21.86	0.2
 7.0	8.0	9.0	10.0	22.91	0.2
 8.0	9.0	10.0	11.0	31.31	0.2
 9.0	10.0	11.0	12.0	11.79	0.2
 10.0	11.0	12.0	13.0	19.57	0.2
 11.0	12.0	13.0	14.0	16.01	0.2
 12.0	13.0	14.0	15.0	25.52	0.2
 13.0	14.0	15.0	16.0	25.52	0.2
 14.0	15.0	16.0	17.0	15.12	0.2
 15.0	16.0	17.0	18.0	19.68	0.2
 16.0	17.0	18.0	19.0	19.68	0.2
 17.0	18.0	19.0	20.0	20.91	0.2
 18.0	19.0	20.0	21.0	16.39	0.2
 19.0	20.0	21.0	22.0	17.28	0.2
 20.0	21.0	22.0	23.0	17.59	0.2
 21.0	22.0	23.0	24.0	18.6	0.2
 22.0	23.0	24.0	25.0	5.14	0.2
 23.0	24.0	25.0	26.0	24.23	0.2
 24.0	25.0	26.0	27.0	38.74	0.2
 25.0	26.0	27.0	28.0	38.74	0.2
 26.0	27.0	28.0	29.0	38.74	0.2
 27.0	28.0	29.0	30.0	38.74	0.2
 28.0	29.0	30.0	31.0	38.74	0.2
 29.0	30.0	31.0	32.0	38.74	0.2
 30.0	31.0	32.0	33.0	40.71	0.2
 31.0	32.0	33.0	34.0	39.09	0.2
 32.0	33.0	34.0	35.0	39.09	0.2
 33.0	34.0	35.0	36.0	39.0	0.2
 34.0	35.0	36.0	37.0	39.0	0.2
 35.0	36.0	37.0	38.0	38.54	0.2
 36.0	37.0	38.0	39.0	32.34	0.2
 37.0	38.0	39.0	40.0	32.34	0.2
 38.0	39.0	40.0	41.0	29.15	0.2
 39.0	40.0	41.0	42.0	29.15	0.2
 40.0	41.0	42.0	43.0	29.15	0.2
 1.0	2.0	4.0	5.0	13.98	0.2
 2.0	3.0	5.0	6.0	19.88	0.2
 3.0	4.0	6.0	7.0	16.75	0.2
 4.0	5.0	7.0	8.0	17.18	0.2
 5.0	6.0	8.0	9.0	17.53	0.2
 6.0	7.0	9.0	10.0	21.2	0.2
 7.0	8.0	10.0	11.0	35.19	0.2
 8.0	9.0	11.0	12.0	23.34	0.2
 9.0	10.0	12.0	13.0	19.27	0.2
 10.0	11.0	13.0	14.0	24.63	0.2
 11.0	12.0	14.0	15.0	36.48	0.2
 12.0	13.0	15.0	16.0	42.28	0.2
 13.0	14.0	16.0	17.0	18.17	0.2
 14.0	15.0	17.0	18.0	20.5	0.2
 15.0	16.0	18.0	19.0	62.74	0.2
 16.0	17.0	19.0	20.0	31.53	0.2
 17.0	18.0	20.0	21.0	38.69	0.2
 18.0	19.0	21.0	22.0	31.36	0.2
 19.0	20.0	22.0	23.0	36.4	0.2
 20.0	21.0	23.0	24.0	33.56	0.2
 21.0	22.0	24.0	25.0	111.21	0.2
 22.0	23.0	25.0	26.0	111.21	0.2
 23.0	24.0	26.0	27.0	57.11	0.2
 24.0	25.0	27.0	28.0	64.37	0.2
 25.0	26.0	28.0	29.0	164.83	0.2
 26.0	27.0	29.0	30.0	136.12	0.2
 27.0	28.0	30.0	31.0	57.43	0.2
 28.0	29.0	31.0	32.0	57.43	0.2
 29.0	30.0	32.0	33.0	41.41	0.2
 30.0	31.0	33.0	34.0	65.71	0.2
 31.0	32.0	34.0	35.0	41.39	0.2
 32.0	33.0	35.0	36.0	41.39	0.2
 33.0	34.0	36.0	37.0	55.03	0.2
 34.0	35.0	37.0	38.0	49.47	0.2
 35.0	36.0	38.0	39.0	81.87	0.2
 36.0	37.0	39.0	40.0	83.63	0.2
 37.0	38.0	40.0	41.0	48.24	0.2
 38.0	39.0	41.0	42.0	65.78	0.2
 39.0	40.0	42.0	43.0	77.45	0.2
 1.0	2.0	5.0	6.0	14.43	0.2
 1.0	3.0	5.0	7.0	11.43	0.2
 2.0	3.0	6.0	7.0	21.84	0.2
 3.0	4.0	7.0	8.0	17.48	0.2
 3.0	5.0	7.0	9.0	11.32	0.2
 4.0	5.0	8.0	9.0	21.51	0.2
 5.0	6.0	9.0	10.0	23.27	0.2
 5.0	7.0	9.0	11.0	13.81	0.2
 6.0	7.0	10.0	11.0	35.19	0.2
 7.0	8.0	11.0	12.0	33.35	0.2
 7.0	9.0	11.0	13.0	15.96	0.2
 8.0	9.0	12.0	13.0	30.23	0.2
 9.0	10.0	13.0	14.0	18.12	0.2
 9.0	11.0	13.0	15.0	19.58	0.2
 10.0	11.0	14.0	15.0	60.7	0.2
 11.0	12.0	15.0	16.0	60.01	0.2
 11.0	13.0	15.0	17.0	28.56	0.2
 12.0	13.0	16.0	17.0	37.21	0.2
 13.0	14.0	17.0	18.0	20.27	0.2
 13.0	15.0	17.0	19.0	12.71	0.2
 14.0	15.0	18.0	19.0	19.28	0.2
 15.0	16.0	19.0	20.0	77.82	0.2
 15.0	17.0	19.0	21.0	27.77	0.2
 16.0	17.0	20.0	21.0	38.79	0.2
 17.0	18.0	21.0	22.0	47.54	0.2
 17.0	19.0	21.0	23.0	25.83	0.2
 18.0	19.0	22.0	23.0	43.36	0.2
 19.0	20.0	23.0	24.0	44.53	0.2
 19.0	21.0	23.0	25.0	23.78	0.2
